script_id,audio_type,audio_file,reference,hypothesis,wer,keyword_accuracy
script_10,clean,script_10_clean.mp3,How many reps are currently using the platform? About twelve. But we have a new team of eight joining next quarter. We have a team scaling package that would cover all twenty at a better per-seat rate. What's the difference in price? Instead of 40 euros per seat you'd pay 32. I'll send a comparison sheet.,"How many reps are currently using the platform? About 12, but we have a new team of 8 joining next quarter. We have a team scaling package that would cover all 20 at a better per seat rate. What's the difference in price? Instead of 40 euros per seat, you'd pay 32. I'll send a comparison sheet.",0.1071,0.5
script_11,clean,script_11_clean.mp3,"Thanks for making time. Have you had a chance to review the proposal? We have, and we've decided to go in a different direction. Can I ask what made the difference? Mostly internal budget cuts. Nothing to do with your product. I understand. Can I check back in next quarter? Sure, that's fine.","Thanks for making time. Have you had a chance to review the proposal? We have and we've decided to go in a different direction. Can I ask what made the difference? Mostly internal budget cuts. Nothing to do with your product. I understand. Can I check back in next quarter? Sure, that's fine.",0.0189,1.0
script_12,clean,script_12_clean.mp3,"Rather than committing to the full rollout, would a pilot work for you? What would that look like? Five users, 60 days, with full support. You pay nothing until you decide to scale. That sounds reasonable. Let me confirm with my director. Of course. I'll send the pilot agreement so you have something concrete to show him.","Rather than committing to the full rollout, would a pilot work for you? What would that look like? Five users, 60 days, with full support. You pay nothing until you decide to scale. That sounds reasonable. Let me confirm with my director. Of course. I'll send the pilot agreement so you have something concrete to show him.",0.0,1.0
script_13,clean,script_13_clean.mp3,"How is the platform working for your team in Frankfurt? Is working good but some words, technical words, the system is not understanding correct. That's useful feedback. Which terms specifically? Like product codes. For example KFZ-Zulassung or Rahmenvertrag. Got it. I'll pass those to our ASR team to improve recognition for those terms.","How is the platform working for your team in Frankfurt? Is working good but some words, technical words? The system is not understanding correct. That's useful feedback. Which terms specifically? Like product codes. For example, KFZ Zulassung or Ramanvertrag. Got it. I'll pass those to our ASR team to improve recognition for those terms.",0.0943,0.6
script_14,clean,script_14_clean.mp3,"You mentioned you have offices in three cities? Yes, Berlin, Hamburg, and München. Do your sales reps work across sites or are they based locally? Each city has its own team. About 15 reps each. So we're talking about 45 seats total. I can offer a multi-site enterprise plan. Send me the details and I'll loop in our procurement team.","You mentioned you have offices in three cities? Yes, Berlin, Hamburg, and München. Do your sales reps work across sites, or are they based locally? Each city has its own team, about 15 reps each. So we're talking about 45 seats total. I can offer a multi-site enterprise plan. Send me the details, and I'll loop in our procurement team.",0.05,1.0
script_15,clean,script_15_clean.mp3,You saw the demo last week. What did your team think? They liked the voice logging but weren't sure about the CRM integration with our system. Which CRM are you using? HubSpot. We have a native HubSpot integration. I'll set up a technical call with our engineer.,"You saw the demo last week. What did your team think? They liked the voice logging, but weren't sure about the CRM integration with our system. Which CRM are you using? HubSpot. We have a native HubSpot integration. I'll set up a technical call with our engineer.",0.0213,1.0
script_16,clean,script_16_clean.mp3,I know Q4 is busy for your team. Would it make sense to onboard in January instead? Honestly yes. December is terrible for us. Let's lock in January 8th as the kickoff date then. I'll hold the slot. Perfect. Send me a calendar invite.,I know Q4 is busy for your team. Would it make sense to onboard in January instead? Honestly yes. December is terrible for us. Let's lock in January 8th as the kickoff date then. I'll hold the slot. Perfect. Send me a calendar invite.,0.0,1.0
script_17,clean,script_17_clean.mp3,Would it help to speak with one of our existing customers in your industry? Actually yes. Do you have anyone in logistics? We have two clients in logistics. I'll ask if one of them is open to a reference call. That would be very helpful. I'll come back to you by Friday with a contact.,"Would it help to speak with one of our existing customers in your industry? Actually, yes. Do you have anyone in logistics? We have two clients in logistics. I'll ask if one of them is open to a reference call. That would be very helpful. I'll come back to you by Friday with a contact.",0.0182,1.0
script_18,clean,script_18_clean.mp3,"Any feedback from the team after month one? Overall positive. One thing, can the summary be exported directly to PDF? Not currently but that's been requested before. I'll log it as a feature request. Also, can we customize the fields in the visit report? Custom fields are on our roadmap for Q2. I'll add you to the beta list.","Any feedback from the team after month one? Overall positive. One thing, can the summary be exported directly to PDF? Not currently, but that's been requested before. I'll log it as a feature request. Also, can we customize the fields in the visit report? Custom fields are on our roadmap for Q2. I'll add you to the beta list.",0.0169,0.8
script_19,clean,script_19_clean.mp3,"Any update on the budget approval? Still waiting. Finance meets next Thursday. Understood. Should I follow up with you on Friday then? Yes, Friday afternoon is good. I'll also send a one-page summary you can share with the finance team.","Any update on the budget approval? Still waiting. Finance meets next Thursday. Understood. Should I follow up with you on Friday then? Yes, Friday afternoon is good. I'll also send a one-page summary you can share with the finance team.",0.0,1.0
script_1,clean,script_1_clean.mp3,"Good morning, I'm here to follow up on our proposal from last week. Yes, come in. We had a chance to review it. Great. Any questions on the pricing structure? Not really. We'd like to move forward with the starter package. Perfect. I'll send the contract by Thursday. We can onboard you by end of month. That works for us.","Good morning. I'm here to follow up on our proposal from last week. Yes, come in. We had a chance to review it. Great. Any questions on the pricing structure? Not really. We'd like to move forward with the starter package. Perfect. I'll send the contract by Thursday. We can onboard you by end of month. That works for us.",0.0167,1.0
script_20,clean,script_20_clean.mp3,"I know you're about to head out. I'll keep this quick. Yes sorry, I have a call in five minutes. No problem. Just wanted to confirm you received the updated pricing. I did, looks good. Let's talk properly on Wednesday. Wednesday it is. I'll send a meeting link.","I know you're about to head out. I'll keep this quick. Yes, sorry. I have a call in five minutes. No problem. Just wanted to confirm you received the updated pricing. I did. Looks good. Let's talk properly on Wednesday. Wednesday it is. I'll send a meeting link.",0.0625,1.0
script_2,clean,script_2_clean.mp3,"So based on your team size, I'd recommend the professional plan at 400 euros per month. That's more than we expected, honestly. I understand. What budget range were you thinking? Somewhere around 250. Let me check if we can offer a quarterly discount. I'll come back to you by Wednesday.","So based on your team size, I'd recommend the professional plan at 400 euros per month. That's more than we expected, honestly. I understand. What budget range were you thinking? Somewhere around 250. Let me check if we can offer a quarterly discount. I'll come back to you by Wednesday.",0.0,1.0
script_3,clean,script_3_clean.mp3,"I wanted to discuss the integration options with your team today. Unfortunately our IT lead couldn't make it. He's out until next week. No problem. Can we schedule a call for Monday with him included? Yes, Monday at 10 should work.","I wanted to discuss the integration options with your team today. Unfortunately, our IT lead couldn't make it. He's out until next week. No problem. Can we schedule a call for Monday with him included? Yes, Monday at 10 should work.",0.0244,1.0
script_4,clean,script_4_clean.mp3,"How has your current solution been working for you? It's okay. We're also looking at what Salesforce offers. Fair enough. Our advantage is the voice-first workflow, no manual data entry after visits. That does sound interesting. Can you show me a demo? Absolutely. I'll set up a live demo for next Tuesday.",How has your current solution been working for you? It's okay. We're also looking at what Salesforce offers. Fair enough. Our advantage is the voice-first workflow. No manual data entry after visits. That does sound interesting. Can you show me a demo? Absolutely. I'll set up a live demo for next Tuesday.,0.0192,1.0
script_5,clean,script_5_clean.mp3,"You've been on the trial for two weeks now. How's it going? The team likes it but we had some issues with the mobile app crashing. I'll escalate that to our technical team today. Have you been using the voice logging feature? Not yet, we haven't had training on it. I'll arrange a 30-minute onboarding session for your team this week.","You've been on the trial for two weeks now. How's it going? The team likes it, but we had some issues with the mobile app crashing. I'll escalate that to our technical team today. Have you been using the voice logging feature? Not yet, we haven't had training on it. I'll arrange a 30 minute onboarding session for your team this week.",0.0492,0.8
script_6,clean,script_6_clean.mp3,"Hi, I know this is unannounced but I work with field sales teams in this area. Do you have five minutes? Sure, why not. We help sales reps log customer visits automatically using voice. No typing, no forms. Interesting. Our reps spend a lot of time on admin after visits. Exactly the problem we solve. Can I send you some materials? Yes, send it to my email, m.hoffman at bauer-gruppe dot de.","Hi, I know this is unannounced, but I work with field sales teams in this area. Do you have five minutes? Sure, why not? We help sales reps log customer visits automatically using voice. No typing, no forms. Interesting. Our reps spend a lot of time on admin after visits. Exactly the problem we solve. Can I send you some materials? Yes, send it to my email. mhoffman at bauergrupper.de",0.0972,0.8
script_7,clean,script_7_clean.mp3,"Your annual contract is up in six weeks. Have you thought about renewal? We have, yes. We're happy overall but want to add two more user seats. That's easy to do. I can add seats to the renewal quote. Also, is there any loyalty discount? For two-year renewals we offer 15 percent. I'll include both options in the quote.","Your annual contract is up in six weeks. Have you thought about renewal? We have, yes. We're happy overall, but want to add two more user seats. That's easy to do. I can add seats to the renewal quote. Also, is there any loyalty discount? For two-year renewals, we offer 15%. I'll include both options in the quote.",0.0678,0.6
script_8,clean,script_8_clean.mp3,"Ready to proceed with the rollout? Almost. Our data team has questions about GDPR compliance and where data is stored. All data is stored on EU servers. I can send our compliance documentation. Please do. Also, do you have an ISO certification? We're ISO 27001 in progress. Expected Q3. I'll send what we have now.","Ready to proceed with the rollout? Almost. Our data team has questions about GDPR compliance and where data is stored. All data is stored on EU servers. I can send our compliance documentation. Please do. Also, do you have an ISO certification? We're ISO 27001 in progress. Expected Q3. I'll send what we have now.",0.0,1.0
script_9,clean,script_9_clean.mp3,"I wanted to check in after the issues last month. Honestly, we were quite frustrated. The system was down for two days. I completely understand and I apologize. That's been fixed and we've added redundancy. We need guarantees this won't happen again before we consider expanding. Fair. I'll send an updated SLA with uptime guarantees by end of week.","I wanted to check in after the issues last month. Honestly, we were quite frustrated. The system was down for two days. I completely understand and I apologize. That's been fixed and we've added redundancy. We need guarantees this won't happen again before we consider expanding. Fair. I'll send an updated SLA with uptime guarantees by end of week.",0.0,0.8
script_10,heavy_noise,script_10_heavy_noise.mp3,How many reps are currently using the platform? About twelve. But we have a new team of eight joining next quarter. We have a team scaling package that would cover all twenty at a better per-seat rate. What's the difference in price? Instead of 40 euros per seat you'd pay 32. I'll send a comparison sheet.,"How many reps are currently using the platform? About 12, but we have a new team of 8 joining next quarter. We have a team scaling package that would cover all 20 at a better per seat rate. What's the difference in price? Instead of 40 euros per seat, you'd pay 32. I'll send a comparison sheet.",0.1071,0.5
script_10,slight_noise,script_10_slight_noise.mp3,How many reps are currently using the platform? About twelve. But we have a new team of eight joining next quarter. We have a team scaling package that would cover all twenty at a better per-seat rate. What's the difference in price? Instead of 40 euros per seat you'd pay 32. I'll send a comparison sheet.,"How many reps are currently using the platform? About 12, but we have a new team of 8 joining next quarter. We have a team scaling package that would cover all 20 at a better per seat rate. What's the difference in price? Instead of 40 euros per seat you'd pay 32. I'll send a comparison sheet.",0.0893,0.5
script_11,heavy_noise,script_11_heavy_noise.mp3,"Thanks for making time. Have you had a chance to review the proposal? We have, and we've decided to go in a different direction. Can I ask what made the difference? Mostly internal budget cuts. Nothing to do with your product. I understand. Can I check back in next quarter? Sure, that's fine.","Thanks for making time. Have you had a chance to review the proposal? We have and we've decided to go in a different direction. Can I ask what made the difference? Mostly internal budget cuts. Nothing to do with your product. I understand. Can I check back in next quarter? Sure, that's fine.",0.0189,1.0
script_11,slight_noise,script_11_slight_noise.mp3,"Thanks for making time. Have you had a chance to review the proposal? We have, and we've decided to go in a different direction. Can I ask what made the difference? Mostly internal budget cuts. Nothing to do with your product. I understand. Can I check back in next quarter? Sure, that's fine.","Thanks for making time. Have you had a chance to review the proposal? We have and we've decided to go in a different direction. Can I ask what made the difference? Mostly internal budget cuts. Nothing to do with your product. I understand. Can I check back in next quarter? Sure, that's fine.",0.0189,1.0
script_12,heavy_noise,script_12_heavy_noise.mp3,"Rather than committing to the full rollout, would a pilot work for you? What would that look like? Five users, 60 days, with full support. You pay nothing until you decide to scale. That sounds reasonable. Let me confirm with my director. Of course. I'll send the pilot agreement so you have something concrete to show him.","Rather than committing to the full rollout, would a pilot work for you? What would that look like? Five users, sixty days, with full support. You pay nothing until you decide to scale. That sounds reasonable. Let me confirm with my director. Of course. I'll send the pilot agreement so you have something concrete to show him.",0.0175,0.8
script_12,slight_noise,script_12_slight_noise.mp3,"Rather than committing to the full rollout, would a pilot work for you? What would that look like? Five users, 60 days, with full support. You pay nothing until you decide to scale. That sounds reasonable. Let me confirm with my director. Of course. I'll send the pilot agreement so you have something concrete to show him.","Rather than committing to the full rollout, would a pilot work for you? What would that look like? Five users, sixty days, with full support. You pay nothing until you decide to scale. That sounds reasonable. Let me confirm with my director. Of course. I'll send the pilot agreement so you have something concrete to show him.",0.0175,0.8
script_13,heavy_noise,script_13_heavy_noise.mp3,"How is the platform working for your team in Frankfurt? Is working good but some words, technical words, the system is not understanding correct. That's useful feedback. Which terms specifically? Like product codes. For example KFZ-Zulassung or Rahmenvertrag. Got it. I'll pass those to our ASR team to improve recognition for those terms.","How is the platform working for your team in Frankfurt? Is working good but some words, technical words? The system is not understanding correct. That's useful feedback. Which terms specifically? Like product codes. For example, KFZ Zulassum or Raman Vrtrag. Got it. I'll pass those to our ASR team to improve recognition for those terms.",0.1132,0.6
script_13,slight_noise,script_13_slight_noise.mp3,"How is the platform working for your team in Frankfurt? Is working good but some words, technical words, the system is not understanding correct. That's useful feedback. Which terms specifically? Like product codes. For example KFZ-Zulassung or Rahmenvertrag. Got it. I'll pass those to our ASR team to improve recognition for those terms.","How is the platform working for your team in Frankfurt? Is working good but some words, technical words? The system is not understanding correct. That's useful feedback. Which terms specifically? Like product codes. For example, KFZ Zulassung or Ramanvertrag. Got it. I'll pass those to our ASR team to improve recognition for those terms.",0.0943,0.6
script_14,heavy_noise,script_14_heavy_noise.mp3,"You mentioned you have offices in three cities? Yes, Berlin, Hamburg, and München. Do your sales reps work across sites or are they based locally? Each city has its own team. About 15 reps each. So we're talking about 45 seats total. I can offer a multi-site enterprise plan. Send me the details and I'll loop in our procurement team.","You mentioned you have offices in three cities? Yes, Berlin, Hamburg and München. Do your sales reps work across sites or are they based locally? Each city has its own team, about 15 reps each. So we're talking about 45 seats total. I can offer a multi-site enterprise plan. Send me the details and I'll loop in our procurement team.",0.0333,1.0
