script_id,audio_type,audio_file,deal_status_correct,sentiment_correct,follow_up_date_correct,client_concern_correct,action_items_accuracy,overall_accuracy,predicted,ground_truth
script_10,clean,script_10_clean.mp3,0,0,1,0,1.0,0.4,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send comparison sheet""], ""follow_up_date"": null, ""client_concern"": ""price""}","{""deal_status"": ""upsell"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""pricing"", ""action_items"": [""Send pricing comparison sheet for team scaling package""]}"
script_11,clean,script_11_clean.mp3,1,1,1,1,1.0,1.0,"{""deal_status"": ""closed_lost"", ""sentiment"": ""neutral"", ""action_items"": [""Check back in next quarter""], ""follow_up_date"": ""next quarter"", ""client_concern"": ""budget""}","{""deal_status"": ""closed_lost"", ""sentiment"": ""neutral"", ""follow_up_date"": ""next quarter"", ""client_concern"": ""budget"", ""action_items"": [""Follow up next quarter""]}"
script_12,clean,script_12_clean.mp3,1,0,1,0,0.5,0.5,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send pilot agreement"", ""Follow up after confirmation with director""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""commitment_risk"", ""action_items"": [""Send pilot agreement document"", ""Wait for director confirmation""]}"
script_13,clean,script_13_clean.mp3,1,0,1,0,0.0,0.4,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Pass specific product codes (KFZ Zulassung, Ramanvertrag) to ASR team for improvement""], ""follow_up_date"": null, ""client_concern"": ""technical_issue""}","{""deal_status"": ""in_progress"", ""sentiment"": ""mixed"", ""follow_up_date"": null, ""client_concern"": ""asr_quality"", ""action_items"": [""Report unrecognized terms to ASR team: KFZ-Zulassung, Rahmenvertrag""]}"
script_14,clean,script_14_clean.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Send multi-site enterprise plan details"", ""Loop in procurement team""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": null, ""action_items"": [""Send enterprise plan details"", ""Loop in procurement team""]}"
script_15,clean,script_15_clean.mp3,1,0,1,1,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Set up technical call with engineer""], ""follow_up_date"": null, ""client_concern"": ""integration""}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""integration"", ""action_items"": [""Schedule technical call with engineer about HubSpot integration""]}"
script_16,clean,script_16_clean.mp3,1,1,0,0,1.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Hold Jan 8th as kickoff date"", ""Send calendar invite""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""January 8"", ""client_concern"": ""timing"", ""action_items"": [""Send calendar invite for January 8th onboarding kickoff""]}"
script_17,clean,script_17_clean.mp3,1,1,1,0,0.0,0.6,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Arrange reference call with logistics client"", ""Follow up by Friday with contact""], ""follow_up_date"": ""Friday"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""follow_up_date"": ""Friday"", ""client_concern"": ""trust_validation"", ""action_items"": [""Contact 2 logistics clients about reference call"", ""Respond to client with contact by Friday""]}"
script_18,clean,script_18_clean.mp3,0,1,1,0,0.0,0.4,"{""deal_status"": ""in_progress"", ""sentiment"": ""positive"", ""action_items"": [""Export summary directly to PDF"", ""Customize fields in visit report""], ""follow_up_date"": null, ""client_concern"": null}","{""deal_status"": ""active_customer"", ""sentiment"": ""positive"", ""follow_up_date"": null, ""client_concern"": ""missing_features"", ""action_items"": [""Log PDF export as feature request"", ""Add client to Q2 custom fields beta list""]}"
script_19,clean,script_19_clean.mp3,1,1,1,0,1.0,0.8,"{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""action_items"": [""Follow up on Friday afternoon"", ""Send one-page summary to be shared with finance team""], ""follow_up_date"": ""Friday afternoon"", ""client_concern"": null}","{""deal_status"": ""in_progress"", ""sentiment"": ""neutral"", ""follow_up_date"": ""Friday afternoon"", ""client_concern"": ""budget_approval"", ""action_items"": [""Send one-pager summary for finance team"", ""Follow up Friday afternoon after finance meeting""]}"
